ShipmentID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_id,Delivery_start,Delivery_end
93,A,Ship,4,4,175,medium,F,7,1188,1,159,2022-06-28,2022-07-30
94,B,Ship,3,3,219,medium,F,17,3387,1,246,2022-11-11,2022-12-09
95,C,Ship,4,1,213,high,F,35,2343,1,279,2022-12-04,2022-12-05
96,F,Ship,2,3,235,low,M,57,2034,1,16,2022-12-27,2023-01-04
97,D,Ship,3,3,149,medium,M,18,1225,1,244,2022-05-28,2022-06-04
98,F,Ship,4,1,271,medium,F,8,2401,1,441,2022-02-13,2022-03-14
99,A,Ship,3,5,144,medium,M,5,1104,1,287,2022-09-02,2022-10-17
100,B,Ship,4,2,145,medium,M,21,1617,1,2,2022-08-21,2022-09-22
101,C,Ship,5,3,143,medium,M,59,1837,1,486,2022-06-06,2022-06-09
102,F,Ship,5,5,227,low,M,53,2624,1,151,2022-10-10,2022-10-14
103,D,Ship,2,1,213,low,M,29,2732,1,136,2022-08-04,2022-09-10
104,F,Ship,5,1,144,low,M,37,1658,1,262,2022-11-30,2022-12-15
105,A,Ship,3,3,218,low,M,3,2255,1,187,2022-07-31,2022-08-16
106,B,Ship,4,2,144,medium,M,59,1588,1,362,2022-03-21,2022-04-17
107,C,Ship,3,1,238,low,M,17,2624,1,84,2022-06-12,2022-07-27
108,F,Ship,4,5,216,high,M,26,2053,1,124,2022-03-01,2022-03-30
109,D,Ship,4,5,238,high,F,55,3257,1,461,2022-12-21,2023-01-07
110,F,Ship,4,1,141,medium,M,47,1250,1,474,2022-11-06,2022-11-16
111,A,Road,3,1,158,low,M,2,1284,1,47,2022-06-15,2022-07-16
112,B,Road,4,2,239,low,F,65,3679,1,198,2022-12-17,2023-01-21
113,C,Road,4,3,175,low,M,25,1816,1,324,2022-11-28,2022-12-11
114,F,Road,3,2,263,low,M,41,2817,1,361,2022-07-31,2022-09-13
115,D,Road,3,5,168,high,M,50,1616,1,473,2022-06-25,2022-07-03
116,F,Road,3,4,176,high,M,36,1779,1,28,2022-08-27,2022-09-12
117,A,Road,4,1,150,high,M,60,1024,1,440,2022-07-23,2022-08-05
118,B,Road,4,3,265,medium,F,31,2326,1,187,2022-11-15,2022-11-23
119,C,Road,2,5,263,low,F,5,2947,1,62,2022-03-30,2022-05-13
120,F,Road,5,1,145,low,M,20,1387,1,245,2022-03-27,2022-04-29
121,D,Road,4,2,183,low,F,33,2741,1,78,2022-08-25,2022-10-01
122,F,Road,3,3,205,medium,F,19,2167,1,54,2022-12-19,2023-01-10
123,A,Road,4,2,160,low,M,64,1714,1,330,2022-12-10,2023-01-04
124,B,Road,3,3,252,medium,F,48,2102,1,195,2022-02-20,2022-03-14
125,C,Road,5,5,222,low,M,10,2280,1,78,2022-12-17,2023-01-18
126,F,Road,3,3,203,low,M,25,3607,1,154,2022-01-13,2022-02-02
127,D,Road,4,5,220,medium,M,40,3516,1,194,2022-07-11,2022-07-31
128,F,Road,3,3,147,low,F,60,1722,1,243,2022-05-21,2022-06-19
129,A,Road,4,4,200,medium,M,16,2060,1,45,2022-09-12,2022-10-08
130,B,Road,4,5,224,medium,M,21,2026,1,440,2022-03-26,2022-04-16
131,C,Road,3,5,179,low,F,17,1364,1,396,2022-10-12,2022-11-13
132,F,Road,3,4,144,low,M,50,1865,1,371,2022-06-24,2022-06-30
133,D,Flight,5,2,247,low,M,17,3889,1,30,2022-08-24,2022-10-06
134,F,Flight,5,4,280,medium,F,51,3582,1,408,2022-01-31,2022-02-15
135,A,Flight,3,3,168,medium,F,1,1829,1,101,2022-10-14,2022-10-28
136,B,Flight,3,5,157,medium,F,4,1889,1,331,2022-05-21,2022-06-16
137,C,Flight,3,3,189,medium,F,51,2208,1,333,2022-05-18,2022-06-22
138,F,Flight,3,5,162,medium,M,7,1739,1,42,2022-04-15,2022-05-13
139,D,Flight,4,1,207,low,M,48,2399,1,62,2022-03-13,2022-03-28
140,F,Flight,5,1,237,low,F,10,3860,1,138,2022-09-08,2022-09-10
141,A,Flight,4,4,264,high,M,59,2020,1,374,2022-12-11,2022-12-21
142,B,Flight,5,4,149,low,M,51,1645,1,364,2022-09-29,2022-11-10
143,C,Flight,5,5,162,low,M,41,1462,1,255,2022-05-06,2022-05-09
144,F,Flight,2,1,205,medium,F,63,2156,1,76,2022-02-09,2022-03-14
145,D,Flight,2,1,158,medium,F,51,1540,1,37,2022-07-03,2022-07-22
146,F,Flight,2,2,248,low,M,46,3707,1,418,2022-09-27,2022-11-01
147,A,Flight,3,5,191,low,M,23,3750,1,157,2022-10-23,2022-11-08
148,B,Flight,4,3,146,medium,F,24,1844,1,295,2022-11-09,2022-12-14
149,C,Flight,3,3,135,low,M,56,1490,1,367,2022-06-07,2022-07-19
150,F,Flight,5,1,149,low,M,40,1062,1,380,2022-04-19,2022-05-27
151,D,Flight,4,4,220,medium,F,7,2551,1,309,2022-01-19,2022-02-17
152,F,Flight,5,3,98,medium,M,44,1269,1,316,2022-09-25,2022-11-01
153,A,Flight,3,4,97,low,M,32,1238,1,16,2022-06-07,2022-06-16
154,B,Flight,3,3,183,low,M,53,3932,1,174,2022-07-05,2022-07-15
155,C,Ship,3,3,162,medium,F,8,1869,1,129,2022-10-01,2022-11-06
156,F,Ship,5,1,114,low,F,47,1443,1,361,2022-10-03,2022-10-17
157,D,Ship,6,3,275,low,M,41,2491,1,323,2022-10-21,2022-12-03
158,F,Ship,3,2,203,medium,F,39,3845,1,110,2022-01-09,2022-01-26
159,A,Ship,5,5,205,high,M,65,3671,1,58,2022-01-29,2022-01-30
160,B,Ship,3,3,149,low,F,63,1946,1,90,2022-05-29,2022-07-12
161,C,Ship,2,2,112,medium,M,56,1138,1,162,2022-02-07,2022-03-08
162,F,Ship,3,1,207,medium,F,56,3482,1,278,2022-08-29,2022-10-12
163,D,Ship,4,1,261,low,F,58,3427,1,161,2022-10-10,2022-10-16
164,F,Ship,5,2,274,medium,M,6,3375,1,160,2022-05-02,2022-05-03
165,A,Ship,3,5,141,low,M,52,1692,1,19,2022-12-29,2022-12-30
166,B,Ship,3,3,166,medium,F,17,1498,1,279,2022-11-12,2022-12-05
167,C,Ship,5,2,141,high,F,34,1020,1,441,2022-11-18,2022-12-01
168,F,Ship,4,5,152,low,M,43,1709,1,106,2022-04-14,2022-05-25
169,D,Ship,4,2,250,low,F,53,2478,1,242,2022-09-12,2022-10-15
170,F,Ship,4,3,161,medium,F,28,1809,1,408,2022-01-01,2022-01-17
171,A,Ship,4,3,185,medium,F,10,2263,1,17,2022-12-04,2022-12-14
172,B,Ship,4,4,176,high,F,52,1096,1,344,2022-01-28,2022-02-02
173,C,Ship,3,4,148,low,M,56,1550,1,420,2022-07-19,2022-07-22
174,F,Ship,3,2,270,low,F,63,2751,1,155,2022-01-21,2022-02-20
175,D,Ship,3,3,242,low,F,51,3935,1,189,2022-05-17,2022-06-29
176,F,Ship,4,4,150,medium,M,3,1285,1,446,2022-01-01,2022-02-08
177,A,Ship,4,5,192,high,M,20,3872,1,410,2022-11-04,2022-11-17
178,B,Ship,4,5,116,medium,M,54,1314,1,102,2022-03-21,2022-04-09
179,C,Ship,3,3,192,medium,F,2,3995,1,31,2022-01-13,2022-01-29
180,F,Ship,5,5,255,medium,M,3,3440,1,395,2022-08-20,2022-09-08
181,D,Ship,4,1,161,medium,F,18,1294,1,41,2022-10-07,2022-11-13
182,F,Ship,4,5,157,low,M,20,1487,1,66,2022-05-25,2022-05-26
183,A,Ship,3,2,164,high,F,28,1940,1,312,2022-03-29,2022-04-18
184,B,Ship,3,5,162,medium,F,16,1052,1,274,2022-12-20,2023-01-26
185,C,Ship,3,3,146,low,M,50,1486,1,375,2022-11-22,2022-11-24
186,F,Ship,3,2,209,medium,M,54,3001,1,59,2022-09-26,2022-09-30
187,D,Ship,5,4,134,medium,F,55,1386,1,100,2022-07-18,2022-08-01
188,F,Ship,2,1,222,medium,M,5,3778,1,129,2022-03-26,2022-05-06
189,A,Ship,2,5,139,low,F,27,1233,1,226,2022-10-07,2022-11-09
190,B,Ship,2,4,134,low,F,42,1415,1,286,2022-11-24,2022-12-23
191,C,Ship,2,5,130,low,M,16,1092,1,136,2022-11-03,2022-12-08
192,F,Ship,2,5,133,low,F,62,1596,1,409,2022-08-11,2022-08-23
193,D,Ship,2,4,140,low,F,7,1411,1,440,2022-03-02,2022-03-22
194,F,Ship,2,2,158,low,M,28,1968,1,276,2022-04-07,2022-04-18
195,A,Ship,4,2,270,low,F,46,1736,1,40,2022-08-22,2022-10-01
196,B,Ship,2,5,140,low,F,30,1030,1,241,2022-07-25,2022-08-23
197,C,Ship,2,2,135,low,M,15,1339,1,475,2022-11-08,2022-12-09
198,F,Ship,2,3,136,low,F,19,1568,1,362,2022-11-25,2022-11-27
199,D,Ship,2,3,142,medium,F,38,7640,1,204,2022-09-16,2022-10-04
200,F,Ship,2,2,154,medium,M,38,7846,1,223,2022-06-01,2022-06-15
201,A,Ship,2,3,139,low,M,9,1471,1,10,2022-11-01,2022-11-30
202,B,Ship,2,3,160,low,F,43,1251,1,38,2022-11-27,2022-12-13
203,C,Ship,2,4,134,low,M,58,1067,1,498,2022-12-17,2022-12-25
204,F,Ship,5,3,161,high,M,48,1883,1,120,2022-02-15,2022-02-18
205,D,Ship,2,5,155,low,M,23,1602,1,389,2022-03-31,2022-04-10
206,F,Ship,2,3,145,medium,F,24,7588,1,107,2022-10-13,2022-11-09
207,A,Ship,2,2,157,low,M,1,1477,1,420,2022-11-26,2023-01-10
208,B,Ship,2,2,160,low,M,48,1691,1,86,2022-10-28,2022-12-05
209,C,Ship,2,4,152,low,M,55,1498,1,323,2022-06-01,2022-06-24
210,F,Ship,2,5,148,high,F,11,1502,1,263,2022-09-23,2022-09-24
211,D,Ship,2,1,127,low,F,15,1522,1,372,2022-09-24,2022-10-10
212,F,Ship,2,5,154,low,F,21,1113,1,198,2022-06-27,2022-08-07
213,A,Ship,2,5,127,low,M,44,1341,1,270,2022-06-08,2022-07-18
214,B,Ship,2,5,160,medium,F,31,7401,1,277,2022-09-11,2022-10-22
215,C,Ship,2,4,129,low,F,48,1219,1,349,2022-03-16,2022-03-18
216,F,Ship,2,5,158,low,F,40,1722,1,315,2022-07-06,2022-08-04
217,D,Ship,4,3,185,medium,M,3,3131,1,419,2022-08-29,2022-09-08
218,F,Ship,4,4,176,high,F,63,1293,1,360,2022-05-26,2022-06-30
219,A,Ship,3,4,148,low,M,37,1523,1,316,2022-09-12,2022-10-07
220,B,Ship,3,5,270,low,M,60,3885,1,108,2022-09-25,2022-10-17
221,C,Ship,3,4,242,low,M,29,2381,1,139,2022-07-09,2022-07-19
222,F,Ship,4,3,150,medium,M,31,1588,1,174,2022-01-11,2022-02-21
223,D,Ship,4,2,192,high,M,4,2061,1,30,2022-03-26,2022-04-10
224,F,Ship,4,5,116,medium,F,9,1314,1,17,2022-05-23,2022-06-02
225,A,Ship,3,4,192,medium,F,31,3331,1,438,2022-02-11,2022-02-12
226,B,Ship,5,4,255,medium,F,38,2771,1,165,2022-09-11,2022-09-15
227,C,Ship,4,3,161,medium,M,63,1496,1,361,2022-03-25,2022-04-14
228,F,Ship,4,2,157,low,F,48,1393,1,422,2022-05-07,2022-06-06
229,D,Ship,3,2,164,high,M,14,1375,1,65,2022-01-12,2022-01-20
230,F,Ship,3,3,162,medium,F,42,1278,1,469,2022-07-08,2022-07-22
231,A,Ship,3,1,146,low,F,54,1528,1,33,2022-07-04,2022-08-10
232,B,Ship,3,4,209,medium,F,60,2240,1,194,2022-10-04,2022-10-11
233,C,Ship,5,5,134,medium,M,53,1088,1,138,2022-06-21,2022-08-03
234,F,Ship,2,1,222,medium,M,58,3626,1,477,2022-09-24,2022-10-04
235,D,Ship,2,1,139,low,F,39,1582,1,473,2022-06-05,2022-06-19
236,F,Ship,2,2,134,low,M,38,1352,1,24,2022-02-12,2022-03-02
237,A,Ship,2,3,130,low,F,48,1801,1,257,2022-11-12,2022-11-23
238,B,Ship,2,2,133,low,M,5,1268,1,447,2022-09-03,2022-10-01
239,C,Ship,2,3,140,low,F,23,1372,1,434,2022-11-02,2022-11-13
240,F,Ship,2,3,158,low,M,10,1515,1,275,2022-03-21,2022-04-07
241,D,Ship,4,5,270,low,M,65,1818,1,87,2022-05-05,2022-05-20
242,F,Ship,2,4,140,low,F,33,1278,1,245,2022-09-15,2022-10-19
243,A,Ship,2,2,135,low,M,58,1734,1,277,2022-02-02,2022-02-22
244,B,Ship,2,4,136,low,M,43,1958,1,400,2022-09-24,2022-10-07
245,C,Ship,2,1,142,medium,F,8,6064,1,305,2022-05-09,2022-06-16
246,F,Ship,2,4,154,medium,F,48,7684,1,487,2022-02-14,2022-02-25
247,D,Ship,2,3,139,low,F,3,1788,1,204,2022-10-23,2022-10-29
248,F,Road,2,4,160,low,F,50,1030,1,319,2022-07-06,2022-07-20
249,A,Road,2,2,134,low,F,38,1530,1,299,2022-02-20,2022-03-02
250,B,Road,5,5,161,high,F,54,1511,1,303,2022-05-30,2022-06-06
251,C,Road,2,3,155,low,F,45,1639,1,96,2022-11-10,2022-12-06
252,F,Road,2,2,145,medium,F,5,6102,1,251,2022-07-15,2022-07-20
253,D,Road,2,1,157,low,M,58,1930,1,245,2022-11-06,2022-11-14
254,F,Road,2,5,160,low,F,19,1399,1,374,2022-11-04,2022-11-24
255,A,Road,2,2,152,low,F,61,1800,1,81,2022-11-18,2022-11-28
256,B,Road,2,2,148,high,F,35,1349,1,250,2022-03-07,2022-03-26
257,C,Road,2,2,127,low,M,13,1128,1,477,2022-03-27,2022-04-08
258,F,Road,2,2,129,medium,F,22,6614,1,237,2022-07-15,2022-07-24
259,D,Road,2,3,158,low,F,13,1245,1,333,2022-03-30,2022-05-09
260,F,Road,2,4,147,low,M,5,1920,1,181,2022-12-16,2023-01-30
261,A,Road,2,5,159,low,F,49,1621,1,20,2022-04-11,2022-04-19
262,B,Road,2,3,151,low,F,23,1930,1,250,2022-02-06,2022-03-17
263,C,Road,3,1,294,low,F,52,1089,1,491,2022-12-23,2022-12-26
264,F,Road,3,2,226,medium,M,45,1446,1,119,2022-01-19,2022-02-25
265,D,Road,5,3,271,high,M,9,1813,1,304,2022-07-18,2022-08-04
266,F,Road,7,2,203,medium,F,61,1856,1,473,2022-04-03,2022-05-11
267,A,Road,2,3,264,low,F,10,1648,1,71,2022-07-03,2022-08-01
268,B,Road,4,1,258,medium,M,36,2211,1,235,2022-10-04,2022-10-23
269,C,Road,3,5,241,low,F,21,3078,1,176,2022-03-15,2022-03-24
270,F,Flight,4,5,208,medium,M,23,2056,1,458,2022-11-27,2022-12-16
271,D,Flight,3,2,209,medium,F,12,3054,1,433,2022-04-11,2022-05-14
272,F,Flight,5,1,182,medium,F,23,2707,1,222,2022-02-19,2022-03-20
273,A,Flight,4,5,148,medium,F,43,1087,1,148,2022-08-24,2022-10-01
274,B,Flight,2,3,183,medium,F,52,3199,1,248,2022-11-15,2022-12-07
275,C,Flight,3,5,229,medium,M,22,2717,1,191,2022-06-10,2022-07-09
276,F,Flight,5,5,115,low,F,26,1692,1,237,2022-10-11,2022-11-14
277,D,Flight,4,2,136,low,F,65,1962,1,232,2022-04-26,2022-05-10
278,F,Flight,4,4,212,low,M,21,3307,1,206,2022-01-22,2022-01-25
279,A,Flight,4,3,171,low,F,24,1304,1,36,2022-01-29,2022-03-09
280,B,Flight,3,1,151,low,M,60,1925,1,186,2022-04-16,2022-05-04
281,C,Flight,3,1,205,medium,M,39,3062,1,365,2022-07-30,2022-09-02
282,F,Flight,5,4,147,medium,M,23,1132,1,113,2022-12-09,2023-01-07
283,D,Flight,3,3,155,low,F,29,1712,1,258,2022-08-26,2022-10-09
284,F,Flight,5,4,165,low,F,20,1150,1,161,2022-09-06,2022-09-20
285,A,Flight,5,5,230,low,F,32,3249,1,339,2022-11-19,2022-12-23
286,B,Flight,2,4,181,medium,M,13,2309,1,353,2022-11-16,2022-12-14
287,C,Flight,5,3,234,low,F,55,3308,1,371,2022-03-20,2022-04-14
288,F,Flight,4,4,149,low,M,34,1977,1,98,2022-09-09,2022-10-15
289,D,Flight,5,5,156,low,M,44,1561,1,361,2022-09-27,2022-10-25
290,F,Flight,4,2,172,medium,F,59,1858,1,368,2022-07-19,2022-08-17
291,A,Flight,4,4,270,low,M,12,3279,1,221,2022-09-09,2022-10-23
292,B,Ship,4,1,206,medium,M,23,3807,1,396,2022-01-09,2022-02-10
293,C,Ship,4,3,211,medium,M,40,3106,1,57,2022-09-29,2022-10-09
294,F,Ship,3,2,136,low,M,62,1090,1,376,2022-12-04,2022-12-18
295,D,Ship,5,1,186,high,F,52,3981,1,366,2022-08-19,2022-09-06
296,F,Ship,3,1,202,medium,M,62,3398,1,105,2022-07-26,2022-08-16
297,A,Ship,4,2,183,medium,F,12,3646,1,405,2022-02-09,2022-03-23
298,B,Ship,4,4,232,low,M,36,2861,1,400,2022-03-26,2022-04-13
299,C,Ship,4,2,147,medium,M,52,1129,1,307,2022-10-18,2022-11-27
300,F,Ship,4,3,136,medium,M,20,1531,1,414,2022-04-28,2022-06-09
301,D,Ship,5,3,127,low,F,43,1446,1,248,2022-04-13,2022-05-03
302,F,Ship,4,5,202,medium,M,35,3695,1,274,2022-03-25,2022-04-18
303,A,Ship,3,4,241,low,M,57,3671,1,219,2022-07-30,2022-08-18
304,B,Ship,4,3,222,medium,M,55,3833,1,40,2022-08-07,2022-08-30
305,C,Ship,3,2,183,medium,F,12,2777,1,492,2022-11-03,2022-12-10
306,F,Ship,4,4,249,medium,F,36,3769,1,24,2022-09-11,2022-10-13
307,D,Ship,3,1,243,high,M,59,3838,1,399,2022-07-27,2022-08-29
308,F,Ship,3,3,163,medium,M,9,1257,1,53,2022-08-16,2022-09-18
309,A,Ship,4,2,165,high,M,11,1596,1,16,2022-04-04,2022-05-02
310,B,Ship,5,5,266,medium,F,53,3089,1,56,2022-02-02,2022-03-15
311,C,Ship,3,4,193,medium,M,48,3909,1,216,2022-06-01,2022-07-02
312,F,Ship,3,2,154,low,F,56,1136,1,190,2022-12-26,2023-01-30
313,D,Ship,3,3,140,medium,M,51,1046,1,315,2022-04-28,2022-06-04
314,F,Ship,4,3,272,medium,M,38,3705,1,69,2022-12-04,2023-01-13
315,A,Ship,4,2,143,medium,M,20,1654,1,307,2022-02-21,2022-02-27
316,B,Ship,4,2,138,low,F,30,1805,1,127,2022-06-14,2022-07-27
317,C,Ship,4,2,238,high,M,17,3358,1,358,2022-06-20,2022-07-16
318,F,Ship,4,5,273,medium,F,31,2373,1,144,2022-10-19,2022-10-28
319,D,Ship,3,1,200,medium,M,27,2551,1,148,2022-10-06,2022-11-03
320,F,Ship,4,5,213,low,M,39,2381,1,454,2022-07-08,2022-08-22
321,A,Ship,3,4,224,medium,F,15,2701,1,48,2022-08-19,2022-09-14
322,B,Ship,4,5,141,medium,M,12,1672,1,37,2022-10-28,2022-11-02
323,C,Ship,3,3,150,low,M,46,1040,1,292,2022-12-11,2022-12-29
324,F,Ship,3,1,192,low,M,33,2818,1,270,2022-11-07,2022-11-15
325,D,Ship,5,1,279,medium,F,24,3440,1,124,2022-09-01,2022-10-16
326,F,Ship,3,4,246,medium,M,30,3748,1,439,2022-01-11,2022-02-09
327,A,Ship,3,4,173,medium,M,52,1587,1,99,2022-01-11,2022-01-15
328,B,Ship,4,4,233,medium,F,59,2358,1,364,2022-03-22,2022-04-25
329,C,Ship,5,1,274,medium,M,24,2423,1,307,2022-03-28,2022-05-11
330,F,Ship,4,5,243,medium,F,41,2782,1,212,2022-01-15,2022-02-01
331,D,Ship,3,4,197,medium,F,56,3427,1,158,2022-01-30,2022-01-31
332,F,Ship,4,3,140,high,F,46,1072,1,224,2022-03-07,2022-04-05
333,A,Ship,3,5,215,medium,F,22,2585,1,338,2022-06-20,2022-06-24
